"fy","month","state","state_abb","plan","plan_abb","gov_type2","return","arr","mva","mean_arr","latest_arr","avg_return","rolling_5","rolling_10","rolling_15"
2023,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.1326,0.0745,27848236000,0.0785,0.0745,0.0644616801021061,0.0550076979932972,0.071747224169693,0.0700913226619895
2024,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.211,0.0745,32486996000,0.0785,0.0745,0.0644616801021061,0.090509846712306,0.0800269670371809,0.0898307408855703
2001,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",-0.0349,0.0825,3517082362,0.076125,0.07,0.0699826184234533,NA,NA,NA
2002,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",-0.0726,0.08,3182940172,0.076125,0.07,0.0699826184234533,NA,NA,NA
2003,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.2546,0.08,3920004126,0.076125,0.07,0.0699826184234533,NA,NA,NA
2004,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.1149,0.078,4322441720,0.076125,0.07,0.0699826184234533,NA,NA,NA
2005,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.0809,0.079,4619171000,0.076125,0.07,0.0699826184234533,0.062363704174037,NA,NA
2006,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.1364,0.08,5210101000,0.076125,0.07,0.0699826184234533,0.0976528425760443,NA,NA
2007,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.081,0.08,5574780000,0.076125,0.07,0.0699826184234533,0.131818339821177,NA,NA
2008,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",-0.3065,0.08,3805950000,0.076125,0.07,0.0699826184234533,0.00527518759474122,NA,NA
2009,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.2533,0.079,3805950000,0.076125,0.07,0.0699826184234533,0.0290791714744936,NA,NA
2010,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.1372,0.079,5224495000,0.076125,0.07,0.0699826184234533,0.0395827271753086,0.0509114885837476,NA
2011,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",-0.0104,0.078,5074398000,0.076125,0.07,0.0699826184234533,0.0112178969632251,0.0535493339495088,NA
2012,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.1391,0.078,5668204000,0.076125,0.07,0.0699826184234533,0.0218613637219973,0.0754354616690092,NA
2013,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.1953,0.078,6640295000,0.076125,0.07,0.0699826184234533,0.139404865711197,0.070240832768113,NA
2014,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.0404,0.076,6788013000,0.076125,0.07,0.0699826184234533,0.0977593137918695,0.0628646410128364,NA
2015,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",-0.003,0.076,6640625000,0.076125,0.07,0.0699826184234533,0.0692488503150732,0.0543114510615956,0.0569887310904984
2016,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.0691,0.076,6965580000,0.076125,0.07,0.0699826184234533,0.0859017188141178,0.047894676199838,0.0642249214133879
2017,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.1877,0.0725,8112100000,0.076125,0.07,0.0699826184234533,0.0950135706308455,0.057805303720363,0.081922291944498
2018,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",-0.0462,0.0725,7592587000,0.076125,0.07,0.0699826184234533,0.0466839897774578,0.0920608182763649,0.0623302251484186
