"Name","average_return_10_years"
"Texas Teacher Retirement System",0.0834961095270259
"Tri-County Metro Of Oregon Bargaining Unit Defined Benefit Plan",0.0828046889671086
"Tri-County Metro Of Oregon Management Defined Benefit Plan",0.060919238897128
"University of California Retirement System",0.0811423198893824
"Utah Retirement Systems, Contributory Retirement System",0.101484758120707
"Utah Retirement Systems, Firefighters Retirement System",0.101484758120707
"Utah Retirement Systems, Noncontributory Retirement System",0.101484758120707
"Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System",0.101484758120707
"Vermont Municipal Employees Retirement System",0.0664663708487057
"Vermont State Retirement System",NA
"Vermont State Teachers' Retirement System",NA
"Washington Law Enforcement Officers and Firefighters Plan 2",0.10728123847823
"Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977)",0.10620168560227
"Washington Public Employees’ Retirement System Plan 1 (Pre-1977)",0.106251053416639
"Washington Public Employees’ Retirement System Plan 2 & 3",0.105412615798728
"Washington Public Safety Employees’ Retirement System",0.10758161659612
"Washington School Employees Plan 2/3",0.107441244589723
"Washington State Patrol Retirement System",0.106811115918504
"Washington Teachers Plan 2/3",0.107441285053711
"Washington Teachers Retirement System Plan 1  (Pre-1977)",0.106630751109349
"West Virginia Public Employees Retirement System",0.0930180303053474
"West Virginia Teachers’ Retirement System",0.0928886867917145
"Wisconsin Retirement System",0.0764499216688197
"Wyoming Retirement System, Public Employees’ Pension Plan",0.0763644351471804
